"draw","site_index","cover","site"
81,2,68.2485437653973,"Mahe NW Carbonate"
82,2,68.2487471260491,"Mahe NW Carbonate"
83,2,68.2489220880683,"Mahe NW Carbonate"
84,2,68.2490726171423,"Mahe NW Carbonate"
85,2,68.2492021251979,"Mahe NW Carbonate"
86,2,68.2493134244596,"Mahe NW Carbonate"
87,2,68.2494092831196,"Mahe NW Carbonate"
88,2,68.249491808052,"Mahe NW Carbonate"
89,2,68.2495628037145,"Mahe NW Carbonate"
90,2,68.2496238808552,"Mahe NW Carbonate"
91,2,68.249676425182,"Mahe NW Carbonate"
92,2,68.2497216041614,"Mahe NW Carbonate"
93,2,68.2497604820853,"Mahe NW Carbonate"
94,2,68.2497939915166,"Mahe NW Carbonate"
95,2,68.2498228807569,"Mahe NW Carbonate"
96,2,68.249847718693,"Mahe NW Carbonate"
97,2,68.2498690734718,"Mahe NW Carbonate"
98,2,68.2498874335635,"Mahe NW Carbonate"
99,2,68.2499032439162,"Mahe NW Carbonate"
100,2,68.2499168818844,"Mahe NW Carbonate"
1,3,9.04821463213659,"Mahe NW Granite"
2,3,10.0465850245766,"Mahe NW Granite"
3,3,11.1022129357423,"Mahe NW Granite"
4,3,12.2642722733854,"Mahe NW Granite"
5,3,13.5266492163598,"Mahe NW Granite"
6,3,14.9038398413176,"Mahe NW Granite"
7,3,16.4079217046096,"Mahe NW Granite"
8,3,17.9487089944119,"Mahe NW Granite"
9,3,19.5692602995947,"Mahe NW Granite"
10,3,21.3108241470266,"Mahe NW Granite"
11,3,23.127214116235,"Mahe NW Granite"
12,3,25.0213475746683,"Mahe NW Granite"
13,3,26.9570353246087,"Mahe NW Granite"
14,3,28.9241088706605,"Mahe NW Granite"
15,3,30.9090728109522,"Mahe NW Granite"
16,3,32.8945823712643,"Mahe NW Granite"
17,3,34.8762365006604,"Mahe NW Granite"
18,3,36.8356908655763,"Mahe NW Granite"
19,3,38.7346043622643,"Mahe NW Granite"
20,3,40.6383641716008,"Mahe NW Granite"
21,3,42.4972612966848,"Mahe NW Granite"
22,3,44.2993823669574,"Mahe NW Granite"
23,3,46.0369394042781,"Mahe NW Granite"
24,3,47.7384581656722,"Mahe NW Granite"
25,3,49.3657376807445,"Mahe NW Granite"
26,3,50.9301987561556,"Mahe NW Granite"
27,3,52.4407641608057,"Mahe NW Granite"
28,3,53.8209983719718,"Mahe NW Granite"
29,3,55.1189439131119,"Mahe NW Granite"
30,3,56.3381193861388,"Mahe NW Granite"
31,3,57.4656764935922,"Mahe NW Granite"
32,3,58.5183395951521,"Mahe NW Granite"
33,3,59.5056445496537,"Mahe NW Granite"
34,3,60.4153775483527,"Mahe NW Granite"
35,3,61.2606366675374,"Mahe NW Granite"
36,3,62.0590611158815,"Mahe NW Granite"
37,3,62.7963726609069,"Mahe NW Granite"
38,3,63.4703276191621,"Mahe NW Granite"
39,3,64.0980796115553,"Mahe NW Granite"
40,3,64.6770004496996,"Mahe NW Granite"
41,3,65.2101521006821,"Mahe NW Granite"
42,3,65.7006110123616,"Mahe NW Granite"
43,3,66.14982112551,"Mahe NW Granite"
44,3,66.5621144499441,"Mahe NW Granite"
45,3,66.9416211591716,"Mahe NW Granite"
46,3,67.289351824076,"Mahe NW Granite"
47,3,67.6096458642444,"Mahe NW Granite"
48,3,67.904278029029,"Mahe NW Granite"
