"Mahe.E.Patch","Mahe.NW.Carbonate","Mahe.NW.Granite","Mahe.NW.Patch","Mahe.W.Carbonate","Mahe.W.Granite","Mahe.W.Patch","Praslin.NE.Granite","Praslin.NE.Patch","Praslin.SW.Granite","Ste.Anne.Granite","Ste.Anne.Patch"
39.9064201640775,65.8708038932057,58.5183395951521,46.2543995799589,80.3179031680382,67.4617321446376,64.2775914680052,80.4683181865943,46.7671101277836,97.4222788692877,56.373733212531,83.7437959160762
41.2286899332086,66.2001968172188,59.5056445496537,46.8123594834216,81.4312716990327,67.8427591915237,65.0382599886297,80.5147151586778,48.4187727309455,97.8229779577516,57.9273151880531,84.2283782195329
42.5268745192703,66.4838100422686,60.4153775483527,47.3309960960912,82.4508201171286,68.178363807134,65.718776858947,80.5513017110893,50.006362226331,98.1605621223132,59.4334867904114,84.6544198787316
43.8024008491162,66.7300068277962,61.2606366675374,47.8098658174628,83.3964710881472,68.473521778544,66.3724345396557,80.580187846893,51.5630385533471,98.442088535927,60.9394807310793,85.0173079241526
45.0430456467443,66.9416104236552,62.0590611158815,48.2538502009668,84.2700522051579,68.7346477396709,66.9782611557689,80.6032287698904,53.0813678452707,98.6835359957951,62.414804763395,85.3335735574717
46.2672101255371,67.1243279854632,62.7963726609069,48.6705096315646,85.0764561835015,68.9661822780479,67.5289626912124,80.6212413862006,54.5609701553921,98.8867271424359,63.8751072407979,85.6070133551845
47.4578937739823,67.2799234181574,63.4703276191621,49.0562110396886,85.8228470653763,69.1702526585409,68.040310736066,80.6354196534212,55.9696532332064,99.0599284217944,65.2891380959044,85.8452343688207
48.6232388892951,67.415657565129,64.0980796115553,49.4136938099742,86.5044361022515,69.3495975478367,68.5159896280481,80.6464923962062,57.3336888098714,99.2070150207252,66.6931493680293,86.0507197616647
49.747190880546,67.5318667914807,64.6770004496996,49.739163130713,87.1115196123914,69.5061636683974,68.9567963664622,80.6552201608603,58.6514007342746,99.3314132653031,68.0793684384479,86.2275960873974
50.8548690633925,67.6321692091643,65.2101521006821,50.0366611950621,87.6679008358685,69.6442417247224,69.3722352612385,80.6620948218357,59.9335820728444,99.4352133888514,69.424990341339,86.3790129804847
51.9138802078647,67.7190834352169,65.7006110123616,50.3075444998022,88.1792894997683,69.7649249256482,69.7550850109204,80.6675235083862,61.1397099839394,99.5239545588766,70.7292276446662,86.509844220089
52.947378653987,67.7938303064549,66.14982112551,50.5535828837147,88.6446008253499,69.8710130170905,70.1103836292446,80.6717923100959,62.2922500427531,99.598987433515,71.984828159819,86.6219163806778
53.9325190055622,67.8586788843688,66.5621144499441,50.77930951395,89.0676501186772,69.964041582973,70.4398509090034,80.6751489909605,63.3879175937579,99.6617501276933,73.1589034471975,86.7179609094735
54.8920646756224,67.9139804703191,66.9416211591716,50.9864999953699,89.4550613305154,70.0451080392459,70.7467096639629,80.677781337377,64.4397261098134,99.7144222368054,74.2917971155622,86.8008849735737
55.8206269850053,67.96132615874,67.289351824076,51.1752538200144,89.8065314595568,70.1167021829372,71.0366181735322,80.6798477092304,65.4419305093503,99.7590586688167,75.3790254653221,86.8722990416104
56.7167121223355,68.001945297015,67.6096458642444,51.3478389004482,90.1200930828026,70.1797078649582,71.3035225986028,80.6814747510332,66.3955562961774,99.7967865770485,76.4556097613713,86.9341595891755
57.5677462762912,68.0368263690683,67.904278029029,51.5055561700455,90.4105979237062,70.2357999274202,71.5473111895798,80.6827558606455,67.3097985338232,99.8286136512189,77.4855038630968,86.9869495717691
58.3747223799036,68.0668117636686,68.1709531411238,51.6496164035237,90.6735849429603,70.2848070730197,71.7723906852183,80.6837630343696,68.1774864888149,99.8555529050129,78.4809556104642,87.0324961275902
59.1483536738161,68.0925754219963,68.4144555972173,51.7811438738655,90.9115550465962,70.3274586154262,71.9800977055639,80.6845575460907,68.9996758323795,99.878295358724,79.4421906792861,87.0719070303119
59.8812744915479,68.1145658503569,68.6387652727281,51.9011803792882,91.1268016663747,70.3639411845705,72.171688861595,80.6851875429267,69.7699530657571,99.8972905121604,80.3648965421595,87.1055780981991
60.5817413685544,68.1335603606368,68.8443102204783,52.0112130342561,91.3199786071715,70.3959741968054,72.3483430344463,80.685681664612,70.493979110027,99.9131629626077,81.2415652522258,87.1345435146013
61.267079817127,68.1499950541505,69.032819346916,52.1119775360885,91.4936362437387,70.4245071484713,72.5111640560922,80.6860673097663,71.1777765350833,99.9266068950466,82.078146340991,87.1594428630188
61.9326498986156,68.164146720672,69.2061073979243,52.2037633750721,91.6507888098311,70.449492497532,72.6611836844935,80.6863711635972,71.8321026111536,99.9380443434549,82.8750164221333,87.1807479124744
62.5675261263754,68.1762014456628,69.3636422112119,52.2864505768231,91.7935501417637,70.4713696566657,72.7993647827676,80.6866105732876,72.4492983690734,99.9477192278133,83.6379546907527,87.1992371574
63.1649076871843,68.1864813262115,69.5061332562799,52.3610982887463,91.9233454177787,70.4905240039542,72.9266046267002,80.6867992068706,73.0310161978417,99.9559098736865,84.3780918333859,87.2149060943732
63.7393134827972,68.195376506379,69.6358966231373,52.4291768043733,92.039433610872,70.5072934355863,73.0437382779364,80.6869482027737,73.572000804078,99.9628254604131,85.087659366444,87.2284726298776
